source,source_type,relation,sub_relation,target,target_type,source_table
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,支气管哮喘,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,气管炎,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,阻塞性肺气肿,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,肺气肿,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关症状,,紫绀,,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,肺炎,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关症状,,咳痰,,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,职业性哮喘,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关疾病,,特发性阻塞性细支气管炎伴机化性肺炎,疾病,
一秒用力呼气量,诊疗技术及设备（治疗）,相关症状,,咳嗽,,
一般摄片检查,诊疗技术及设备（治疗）,所属分类,,X线,,
一般摄片检查,诊疗技术及设备（治疗）,注意事项,,一般摄片不能观察脏器的功能状态,,
一般摄片检查,诊疗技术及设备（治疗）,注意事项,,摄片工序较烦琐，一般不能立即得到结果,,
丁丙诺啡透皮贴剂,西药,不良反应,,低氧,,
丁丙诺啡透皮贴剂,西药,不良反应,,呼吸抑制,,
丁丙诺啡透皮贴剂,西药,不良反应,,呼吸困难,,
丁丙诺啡透皮贴剂,西药,不良反应,,咳嗽,,
丁二酸洛沙平胶囊,西药,不良反应,,呼吸困难,,
丁悦,西药,不良反应,,发热,,
丁悦,西药,不良反应,,呼吸困难,,
丁悦,西药,不良反应,,发热（0.3%）,,
丁悦,西药,不良反应,,紫绀,,
丁悦,西药,不良反应,,胸闷,,
丁悦,西药,不良反应,,过敏性休克,疾病,
丁林美,西药,成份,,克林霉素磷酸酯,,
丁林美,西药,英文名称,,Clindamycin Phosphate Injection,,
丁林美,西药,不良反应,,呼吸困难,,
丁林美,西药,不良反应,,嗜酸性粒细胞增多,,
丁林美,西药,不良反应,,白细胞减少,,
丁林美,西药,适应症,,支气管炎,疾病,
丁林美,西药,不良反应,,粒细胞减少,,
丁林美,西药,适应症,,肺炎,疾病,
丁林美,西药,不良反应,,胸闷,,
丁林美,西药,不良反应,,过敏性休克,疾病,
丁林美,西药,不良反应,,血管性水肿,疾病,
丁溴东莨菪碱注射液,西药,规格,,1ml：20mg,,
丁溴东莨菪碱注射液,西药,分类,,叔胺基酯类合成抗胆碱药,,
丁溴东莨菪碱注射液,西药,成份,,丁溴东莨菪碱,,
丁溴东莨菪碱注射液,西药,分类,,解痉药,,
丁溴东莨菪碱胶囊,西药,成份,,丁溴东莨菪碱,,
丁溴东莨菪碱胶囊,西药,分类,,解痉药,,
丁立安,西药,不良反应,,胸闷,,
丁舒,西药,不良反应,,呼吸困难,,
丁舒,西药,不良反应,,支气管炎,疾病,
丁舒,西药,不良反应,,喉水肿,,
丁舒,西药,不良反应,,支气管痉挛,,
丁舒,西药,不良反应,,粒细胞缺乏,,
丁舒,西药,不良反应,,肺炎,疾病,
丁舒,西药,不良反应,,粒细胞缺乏症,,
丁舒,西药,不良反应,,胸闷,,
丁舒,西药,不良反应,,过敏性休克,疾病,
丁舒,西药,不良反应,,过敏样反应,,
丁苯酞氯化钠注射液,西药,不良反应,,呼吸困难,,
丁苯酞氯化钠注射液,西药,不良反应,,胸闷,,
丁茄,中草药,功能主治,,哮喘,疾病,
丁茄,中草药,功能主治,,镇咳平喘,,
丁贺,西药,不良反应,,皮疹,疾病,
丁那,西药,不良反应,,白细胞减少,,
丁香蓼,中草药,功能主治,,肺热咳嗽,,
七价肺炎球菌结合疫苗,西药,成份,,23F型各2μg；各型多糖,,
七价肺炎球菌结合疫苗,西药,成份,,各型多糖共16μg（多糖总量）：6B型4μg,,
七价肺炎球菌结合疫苗,西药,不良反应,,呼吸困难,,
七价肺炎球菌结合疫苗,西药,不良反应,,呼吸暂停,,
七价肺炎球菌结合疫苗,西药,英文名称,,Pneumococcal 7—Valent Conjugate Vaccine,,
七价肺炎球菌结合疫苗,西药,不良反应,,喘鸣,,
七价肺炎球菌结合疫苗,西药,成份,,CRM197载体蛋白结合后吸附于磷酸铝佐剂（0.5mg）,,
七价肺炎球菌结合疫苗,西药,OTC类型,,乙类OTC,,
七价肺炎球菌结合疫苗,西药,适应症,,呼吸道感染,,
七价肺炎球菌结合疫苗,西药,分类,,疫苗/抗血清/免疫制剂,,
七价肺炎球菌结合疫苗,西药,成份,,氯化钠,,
七价肺炎球菌结合疫苗,西药,成份,,注射用水,,
七价肺炎球菌结合疫苗,西药,适应症,,年龄,,
七价肺炎球菌结合疫苗,西药,商品名,,沛儿,西药,
七价肺炎球菌结合疫苗,西药,不良反应,,支气管痉挛,,
七价肺炎球菌结合疫苗,西药,适应症,,感染,疾病,
七价肺炎球菌结合疫苗,西药,不良反应,,血管神经性水肿,,
七价肺炎球菌结合疫苗,西药,适应症,,肺炎,疾病,
七叶苷水解试验,诊疗技术及设备（治疗）,相关疾病,,肺炎链球菌性肺炎,,
七味沙参汤散,中成药,功能主治,,中医清肺,,
七味沙参汤散,中成药,功能主治,,急慢性支气管炎,,
七味沙参汤散,中成药,功能主治,,用于肺热性咳嗽,,
