head,head_type,relation,tail,tail_type,source
丁苯酞氯化钠注射液,西药,不良反应,呼吸困难,症状,medical_kg
丁苯酞氯化钠注射液,西药,不良反应,胸闷,症状,medical_kg
丁茄,中草药,适应症,哮喘,疾病,medical_kg
丁茄,中草药,适应症,镇咳平喘,疾病,medical_kg
丁贺,西药,不良反应,皮疹,疾病,medical_kg
丁那,西药,不良反应,白细胞减少,症状,medical_kg
丁香蓼,中草药,适应症,肺热咳嗽,疾病,medical_kg
七价肺炎球菌结合疫苗,西药,成份,23f型各2μg；各型多糖,药物,medical_kg
七价肺炎球菌结合疫苗,西药,成份,各型多糖共16μg（多糖总量）：6b型4μg,药物,medical_kg
七价肺炎球菌结合疫苗,西药,不良反应,呼吸困难,症状,medical_kg
七价肺炎球菌结合疫苗,西药,不良反应,呼吸暂停,症状,medical_kg
七价肺炎球菌结合疫苗,西药,英文名称,pneumococcal 7—valent conjugate vaccine,药物,medical_kg
七价肺炎球菌结合疫苗,西药,不良反应,喘鸣,症状,medical_kg
